comp_id,comp_source,comp_type,make,model,year_built,loa_ft,propulsion_type,engine_hours,region_market,condition_grade,list_price,sold_price,days_on_market,sale_date,equipment_flags,notes
comp_d39877fcbc06,marketplace,sold,Chaparral,21 SSI,2022,19.23,outboard,133,Gulf Coast,poor,15982.99,14128.58,110,2023-08-26,"[""radar""]",
comp_0c141a5175ec,brokerage,sold,Carver,C40 Command Bridge,2010,24.64,inboard,874,Atlantic Coast,very_good,61144.32,57633.93,15,2023-10-23,[],
comp_5c263afabde5,internal_sales,sold,Carver,C34 Coupe,1973,40.56,sterndrive,5012,Pacific Coast,very_good,40617.2,36063.47,67,2024-05-11,"[""joystick""]",
comp_abd3fd04162a,marketplace,sold,Sun Tracker,Party Barge 22 DLX,2001,25.69,outboard,199,Maritimes,very_good,13032.02,12597.19,48,2024-09-23,[],
comp_004e55cd7581,marketplace,sold,Sun Tracker,Party Barge 22 DLX,2026,22.27,outboard,20,Great Lakes,good,44046.61,41412.64,96,2023-11-22,"[""autopilot"", ""radar"", ""generator""]",
comp_3a93c33106fd,brokerage,sold,Jeanneau,Leader 10.5,2010,34.36,sail_aux,1545,Great Lakes,fair,60987.25,54136.5,73,2024-12-27,"[""AIS"", ""radar""]",
comp_a7a1eaf825b9,marketplace,listing,Harris,Cruiser 210,2007,20.16,outboard,380,Pacific Coast,good,9185.35,,21,2024-04-10,"[""solar"", ""trailer"", ""AIS""]",
comp_e8ebff52928f,marketplace,sold,Boston Whaler,280 Vantage,2023,11.49,inboard,360,Maritimes,good,15915.86,13931.55,122,2025-11-24,"[""AIS""]",
comp_e0fb6dead6f4,marketplace,sold,Bayliner,VR5,2008,15.53,outboard,729,Atlantic Coast,fair,6716.94,6201.86,148,2025-05-24,[],
comp_292f914ad50a,marketplace,listing,Tracker,Targa V-18,2026,20.26,inboard,119,Pacific Coast,good,54738.37,,52,2023-08-18,"[""solar"", ""autopilot"", ""generator""]",
comp_52e387d5fb41,marketplace,listing,HarborCat,26 WB,2019,28.7,inboard,1194,Pacific Coast,poor,39542.39,,25,2023-07-16,[],
comp_76c1fea5edb4,internal_sales,listing,Hunter,31,2026,33.67,inboard,0,Great Lakes,very_good,158108.02,,63,2024-11-05,"[""autopilot""]",
comp_266bf8ee102c,marketplace,sold,Sea Ray,SPX 190,1981,22.39,outboard,832,Gulf Coast,fair,6142.63,5904.28,15,2026-04-01,[],
comp_4ae6bbd24d75,brokerage,listing,Lund,1875 Pro-V,1996,26.0,outboard,4438,Great Lakes,poor,8299.08,,16,2023-01-22,[],
comp_e51fc82be362,marketplace,sold,HarborCat,26 WB,2015,36.89,inboard,1688,Inland Lakes,very_good,99471.92,83952.28,84,2023-02-24,"[""joystick"", ""trailer""]",
comp_72ea161bd005,brokerage,sold,Sea Ray,SLX 260,1972,23.48,outboard,8168,Maritimes,good,5500.55,5336.8,117,2024-11-24,"[""radar""]",
comp_166a3f9171fb,marketplace,sold,Sun Tracker,Party Barge 22 DLX,2012,26.0,outboard,2688,Pacific Coast,poor,9096.05,8565.4,7,2024-01-27,"[""solar"", ""generator""]",
comp_3a150ec0a161,marketplace,listing,Bayliner,VR5,2009,26.0,outboard,764,Maritimes,fair,16109.05,,88,2026-01-24,"[""AIS"", ""trailer"", ""autopilot""]",
comp_37f2a3c103da,marketplace,listing,Lund,1975 Impact,1981,23.26,inboard,6356,Atlantic Coast,good,7266.29,,52,2024-06-12,[],
comp_634bbac8c16d,marketplace,listing,Harris,Cruiser 210,1989,15.89,outboard,2296,Maritimes,fair,3150.31,,111,2025-10-10,[],
comp_70680d8aeb8e,brokerage,listing,Beneteau,First 27,1990,15.33,sail_aux,2565,Gulf Coast,good,17984.71,,192,2025-02-11,"[""AIS"", ""joystick"", ""solar""]",
comp_b420acdaaee2,brokerage,sold,Bayliner,Ciera 8,2005,26.0,outboard,762,Great Lakes,poor,9121.94,7767.91,153,2024-09-01,"[""generator"", ""solar""]",
comp_cfd07ac6eb12,marketplace,listing,Harris,Cruiser 210,2008,11.14,outboard,731,Maritimes,fair,4021.84,,45,2026-03-28,[],
comp_42c5709eddf4,brokerage,listing,Grady-White,191 CE,1988,21.82,inboard,9040,Great Lakes,good,8448.82,,34,2024-11-13,[],
comp_719fceafc567,marketplace,sold,Regal,28 Express,2010,17.82,outboard,855,Maritimes,very_good,13799.55,12187.47,54,2026-07-18,"[""solar"", ""trailer"", ""generator""]",
comp_ce271bac1891,marketplace,sold,Regal,28 Express,2000,20.87,sterndrive,746,Gulf Coast,fair,9099.84,7828.5,80,2024-12-13,"[""AIS"", ""joystick"", ""radar""]",
comp_9fa6cce10452,marketplace,listing,Chaparral,280 OSX,1986,22.97,sterndrive,1673,Inland Lakes,fair,7385.9,,20,2025-10-10,"[""joystick""]",
comp_e9b3bd47b1f6,marketplace,listing,Hunter,36,2017,20.5,sail_aux,565,Inland Lakes,excellent,43223.31,,154,2024-08-02,"[""radar"", ""generator""]",
comp_20772e7dccf4,marketplace,sold,Tiara,44 Coupe,2009,38.37,sterndrive,2649,Gulf Coast,very_good,112880.47,110127.85,70,2024-04-20,"[""radar""]",
comp_e0a3a13538b0,marketplace,listing,Tracker,Pro Team 175,2014,17.92,inboard,439,Atlantic Coast,fair,11936.0,,36,2025-05-13,"[""AIS"", ""solar"", ""joystick""]",
comp_cc824e244456,marketplace,listing,Bennington,22 SSB,2020,22.41,outboard,217,Gulf Coast,fair,11642.3,,25,2023-04-21,"[""radar"", ""generator"", ""solar""]",
comp_4fb9a40e1df0,brokerage,listing,Sea Ray,Sundancer 320,1995,38.55,sterndrive,2827,Maritimes,excellent,77846.28,,21,2023-01-23,[],
comp_9a178903d170,brokerage,sold,Jeanneau,Leader 10.5,2026,35.89,inboard,0,Maritimes,very_good,121147.01,115702.22,42,2025-06-14,[],
comp_7f1f39d33fb0,marketplace,sold,Bayliner,VR5,2016,20.22,outboard,415,Pacific Coast,fair,12326.52,11133.63,74,2025-02-25,[],
comp_20d02d425373,brokerage,sold,Chaparral,280 OSX,1979,21.95,outboard,3204,Gulf Coast,very_good,8157.04,7192.92,27,2025-05-20,[],
comp_31b2d1ad3ad4,brokerage,sold,Beneteau,First 27,1990,30.57,sail_aux,3289,Inland Lakes,fair,37420.23,34754.94,243,2026-10-20,"[""AIS"", ""solar"", ""joystick""]",
comp_8e276d6559c3,brokerage,listing,Harris,Cruiser 210,2011,11.14,outboard,904,Maritimes,good,5435.56,,241,2023-11-01,[],
comp_19c71ba4e655,marketplace,sold,Sun Tracker,Party Barge 22 DLX,1983,22.31,outboard,1515,Inland Lakes,poor,3234.49,2787.08,17,2026-01-28,"[""trailer""]",
comp_da3e7c79fc3d,brokerage,listing,Carver,C40 Command Bridge,2025,34.59,inboard,419,Atlantic Coast,very_good,225390.56,,51,2023-12-17,"[""trailer""]",
comp_f1267307cf15,brokerage,sold,Chaparral,23 SSi,1989,14.93,sterndrive,3617,Great Lakes,fair,5085.78,4594.41,75,2025-01-11,"[""autopilot"", ""AIS"", ""solar""]",
comp_2d40c1ed4a52,marketplace,sold,Tracker,Targa V-18,1997,21.17,outboard,1635,Maritimes,good,10951.2,9482.19,23,2025-05-15,"[""autopilot"", ""solar"", ""trailer""]",
comp_fd621f62bc74,marketplace,sold,Tiara,38 LS,2010,38.49,inboard,2288,Atlantic Coast,good,104598.05,93819.14,16,2024-05-18,[],
comp_1852add6064d,brokerage,sold,Parker,2820 XLD,2013,27.76,inboard,1780,Pacific Coast,very_good,52042.36,45928.64,67,2024-12-09,[],
comp_5e6a47b2c119,marketplace,sold,Bayliner,Ciera 8,1999,21.4,sterndrive,1865,Pacific Coast,very_good,12215.79,11663.94,66,2026-10-25,"[""AIS""]",
comp_554139d7d96c,brokerage,sold,Regal,28 Express,1999,18.22,sterndrive,757,Pacific Coast,very_good,11636.12,10855.84,57,2026-11-09,"[""generator"", ""AIS"", ""radar""]",
comp_a9c2943d8271,marketplace,sold,Sun Tracker,Bass Buggy 18 DLX,1984,26.0,outboard,2034,Atlantic Coast,good,6274.8,5804.86,31,2025-02-12,"[""autopilot""]",
comp_bb32b1a97ace,marketplace,listing,Bennington,24 LXSB,2005,26.0,outboard,265,Great Lakes,fair,10878.59,,55,2024-07-14,"[""solar"", ""autopilot""]",
comp_9f14a06ae852,marketplace,sold,Lund,1875 Pro-V,2008,25.69,outboard,2370,Pacific Coast,very_good,21154.21,20615.67,33,2023-06-22,[],
comp_f7909d1ecb2b,brokerage,sold,Sea Ray,SPX 190,1977,35.14,sterndrive,3053,Pacific Coast,fair,31667.13,30066.72,41,2024-03-07,"[""AIS""]",
comp_48f1eeb904a6,marketplace,sold,Harris,Solstice 230,1991,26.0,outboard,605,Great Lakes,fair,6382.72,6042.52,25,2026-11-12,"[""trailer"", ""generator""]",
comp_be3da81c9e5c,marketplace,sold,Chaparral,280 OSX,2006,13.84,sterndrive,1080,Pacific Coast,fair,6909.89,6554.32,44,2025-09-12,"[""joystick"", ""solar"", ""radar""]",
comp_c4d52d3ef7d6,brokerage,sold,Sea Ray,Sundancer 320,1965,28.06,sterndrive,3313,Gulf Coast,fair,16345.03,14115.51,29,2023-04-19,"[""generator"", ""solar""]",
comp_b65d37d057c3,marketplace,sold,Formula,350 CBR,2013,37.7,sterndrive,659,Inland Lakes,very_good,117223.29,114245.41,65,2025-02-07,"[""radar""]",
comp_2e18ab8cddcd,marketplace,sold,Chaparral,21 SSI,2019,21.28,outboard,265,Inland Lakes,poor,12520.28,12032.05,29,2023-02-26,[],
comp_e2b37603205f,marketplace,sold,Boston Whaler,170 Montauk,2025,23.89,inboard,0,Gulf Coast,good,71548.29,65780.62,80,2023-11-19,"[""AIS"", ""solar"", ""radar""]",
comp_38974eff4968,marketplace,listing,Hunter,36,2014,21.27,inboard,26,Atlantic Coast,good,34348.81,,47,2024-09-19,"[""trailer""]",
comp_c7c2e1e5344d,brokerage,sold,Chaparral,21 SSI,1982,19.37,sterndrive,2233,Pacific Coast,good,6198.42,5600.22,42,2024-02-26,"[""radar"", ""generator""]",
comp_d518fd003118,marketplace,sold,Tracker,Grizzly 1860,1994,20.3,inboard,2170,Gulf Coast,good,9565.12,9002.83,43,2024-02-28,[],
comp_ef590600be98,marketplace,sold,HarborCat,36 Pilot,1976,19.74,inboard,12429,Maritimes,good,9896.29,9218.41,57,2024-12-09,"[""autopilot"", ""AIS""]",
comp_1db35c39dcb5,brokerage,listing,SafeBoat,33 Full Cabin,2017,32.35,outboard,1207,Atlantic Coast,good,83585.12,,21,2024-03-21,"[""radar"", ""trailer"", ""generator""]",
comp_d140fac9c8bb,marketplace,sold,Jeanneau,Sun Odyssey 349,1986,32.48,inboard,1172,Inland Lakes,fair,37866.65,33312.06,23,2024-01-08,"[""AIS""]",
comp_6852581cc47b,brokerage,sold,Grady-White,191 CE,1977,30.78,inboard,4311,Gulf Coast,poor,5204.09,4734.57,45,2023-10-24,"[""solar"", ""AIS""]",
comp_e727c96e8ec3,marketplace,sold,Hunter,31,1969,26.62,inboard,1484,Great Lakes,fair,19319.95,17031.53,37,2025-08-28,[],
comp_d46836236c2d,brokerage,listing,Chaparral,21 SSI,1999,17.47,outboard,3341,Atlantic Coast,good,8903.19,,51,2025-08-22,"[""solar"", ""autopilot""]",
comp_66c62726e765,internal_sales,sold,Tiara,38 LS,1980,39.32,sterndrive,1408,Maritimes,poor,27657.54,24340.9,21,2024-03-22,[],
comp_c60ebf926429,marketplace,sold,Chaparral,280 OSX,2008,20.94,outboard,513,Gulf Coast,good,16461.38,14571.56,17,2024-10-01,"[""radar"", ""trailer"", ""autopilot""]",
comp_63e2edfba3a0,brokerage,listing,Yamaha WaveRunner,FX HO,2007,12.45,jet,1225,Pacific Coast,fair,2426.15,,30,2026-10-05,"[""solar"", ""autopilot"", ""trailer""]",
comp_abd40f30d9b9,marketplace,sold,Lund,1875 Pro-V,2015,16.12,outboard,1378,Inland Lakes,good,13921.64,12185.46,19,2025-11-04,"[""autopilot"", ""trailer""]",
comp_888cc1d59abe,marketplace,listing,Bayliner,VR5,1977,21.56,sterndrive,1045,Gulf Coast,good,6341.82,,74,2023-05-17,"[""trailer""]",
comp_c99f9932504d,brokerage,sold,Harris,Cruiser 210,1972,22.04,outboard,109,Great Lakes,good,4464.62,3935.47,38,2026-10-12,"[""solar"", ""radar"", ""autopilot""]",
comp_5ad6a613b440,internal_sales,sold,Sea Ray,Sundancer 320,2001,23.6,sterndrive,1975,Pacific Coast,good,41224.39,37656.87,55,2024-01-07,"[""generator"", ""solar"", ""joystick""]",
comp_4ea8ba828486,marketplace,sold,Catalina,355,2019,33.06,sail_aux,84,Pacific Coast,very_good,96930.48,94667.35,7,2023-03-22,"[""solar"", ""autopilot""]",
comp_3c018ebfcb00,marketplace,sold,Formula,350 CBR,2006,26.09,inboard,1474,Pacific Coast,fair,39712.03,37507.88,197,2025-12-16,"[""generator"", ""trailer"", ""AIS""]",
comp_02de468775f6,brokerage,sold,Grady-White,257 Fisherman,1992,24.71,inboard,721,Atlantic Coast,good,11072.36,10574.71,107,2024-12-07,"[""AIS"", ""trailer""]",
comp_7bef98136c25,marketplace,listing,Parker,2320 Sport Cabin,1984,41.12,outboard,2678,Atlantic Coast,fair,32927.59,,50,2023-11-13,[],
comp_314985ad7c10,marketplace,sold,Sea Ray,Sundancer 320,1987,15.1,sterndrive,1484,Atlantic Coast,good,5503.2,5292.85,51,2024-06-09,"[""solar""]",
comp_1e3b6a61b8fc,internal_sales,sold,Sea Ray,SDX 250,2021,22.75,sterndrive,334,Inland Lakes,poor,15966.5,15618.75,40,2026-01-23,[],
comp_787db22c8b65,brokerage,listing,Grady-White,191 CE,2021,26.0,inboard,784,Pacific Coast,excellent,50025.07,,51,2023-09-12,"[""radar"", ""joystick""]",
comp_2ae379204064,internal_sales,listing,Beneteau,Oceanis 41.1,1983,40.11,sail_aux,1171,Atlantic Coast,poor,29923.0,,56,2024-12-22,"[""AIS"", ""autopilot""]",
comp_4316468f65ae,marketplace,sold,Catalina,445,1971,29.28,inboard,1354,Great Lakes,good,30616.92,29663.45,19,2024-09-12,"[""solar"", ""joystick"", ""generator""]",
comp_ddc241672fff,marketplace,sold,Regal,26 XO,2017,19.0,sterndrive,1560,Great Lakes,very_good,22978.47,19758.43,85,2025-01-26,"[""radar""]",
comp_488d1aee82cb,marketplace,listing,Tiara,38 LS,2006,50.79,inboard,668,Pacific Coast,excellent,182753.0,,35,2026-10-28,[],
comp_ae7c431df5e3,marketplace,sold,Bennington,22 SSB,2024,22.41,outboard,143,Gulf Coast,excellent,27083.63,25858.92,19,2025-12-25,"[""radar"", ""autopilot""]",
comp_2c8a47f96fe9,marketplace,sold,Carver,C40 Command Bridge,1978,33.37,inboard,5167,Pacific Coast,good,32966.02,28324.6,47,2025-08-14,"[""generator"", ""solar"", ""trailer""]",
comp_3ed504d52770,internal_sales,sold,Lund,1875 Pro-V,2000,12.93,inboard,796,Maritimes,excellent,6709.83,6301.13,56,2024-06-28,"[""AIS"", ""trailer""]",
comp_527d351a2d6d,internal_sales,sold,Jeanneau,Leader 10.5,2009,34.36,sail_aux,2181,Great Lakes,excellent,100837.15,94221.38,47,2026-05-26,"[""generator""]",
comp_8f49c2a9709a,brokerage,listing,Tracker,Targa V-18,1963,22.16,outboard,4820,Great Lakes,fair,3090.52,,45,2025-04-08,[],
comp_e9564c982425,internal_sales,listing,Alumacraft Pro,205 Bay,2006,25.68,inboard,1835,Gulf Coast,excellent,41845.36,,54,2024-07-22,"[""trailer"", ""generator""]",
comp_23e23649fa61,brokerage,sold,Grady-White,336 Canyon,1978,19.95,outboard,2833,Pacific Coast,very_good,6695.87,5732.79,14,2025-07-22,"[""radar""]",
comp_f790e18a91cd,marketplace,sold,Chaparral,21 SSI,2015,24.42,sterndrive,746,Atlantic Coast,good,22402.8,20265.01,22,2025-01-13,"[""joystick""]",
comp_634239473e7e,marketplace,sold,Tiara,44 Coupe,2023,32.54,inboard,119,Gulf Coast,very_good,183145.29,154759.44,44,2025-05-17,[],
comp_5bc705a524f3,marketplace,sold,Beneteau,First 27,1968,27.27,inboard,0,Gulf Coast,fair,18011.8,16475.61,78,2024-12-03,"[""joystick""]",
comp_d211e4c7ff29,marketplace,sold,Sun Tracker,Bass Buggy 18 DLX,2024,26.0,outboard,11,Gulf Coast,fair,25646.48,23633.22,20,2023-11-08,"[""solar""]",
comp_8640f21b8d15,marketplace,sold,Bennington,20 SVL,2000,26.0,outboard,516,Maritimes,very_good,13982.04,11777.43,61,2026-10-03,"[""generator""]",
comp_310550f25e02,marketplace,sold,Boston Whaler,170 Montauk,2026,22.45,inboard,77,Atlantic Coast,very_good,82179.08,73055.89,51,2025-07-17,"[""trailer"", ""autopilot"", ""AIS""]",
comp_d1970e43d477,marketplace,sold,Lund,1650 Angler,2020,23.64,inboard,625,Inland Lakes,good,32888.35,28124.76,26,2025-11-19,"[""autopilot"", ""AIS""]",
comp_08260b3d990e,marketplace,sold,Bayliner,VR5,2023,13.82,outboard,146,Inland Lakes,good,18463.0,17716.88,81,2026-02-15,"[""trailer"", ""radar"", ""joystick""]",
comp_6a9bc7454a45,marketplace,listing,Harris,Cruiser 210,2004,17.02,outboard,463,Gulf Coast,very_good,5486.65,,27,2026-08-23,"[""solar""]",
comp_9752e3c6edf1,marketplace,sold,Sea Ray,Sundancer 320,1990,38.55,sterndrive,4425,Maritimes,good,52658.35,44350.55,59,2025-11-03,"[""generator"", ""autopilot"", ""solar""]",
comp_a213d7d4f801,marketplace,sold,Formula,350 CBR,2015,37.7,sterndrive,1390,Inland Lakes,fair,99756.01,96240.26,22,2023-08-26,[],
comp_66765fd4ceaa,brokerage,sold,Sun Tracker,Bass Buggy 18 DLX,2014,25.22,outboard,1443,Inland Lakes,good,14548.21,12383.24,65,2025-06-09,"[""joystick"", ""solar""]",
comp_d90886f5662f,marketplace,listing,Bayliner,Ciera 8,1986,19.44,sterndrive,3662,Maritimes,good,6120.14,,86,2023-02-02,"[""AIS"", ""trailer"", ""solar""]",
comp_ab2b9b483e48,marketplace,sold,Sea Ray,SDX 250,2000,25.22,inboard,634,Inland Lakes,good,40171.42,36936.77,36,2023-03-12,[],
comp_d90fd6692b41,marketplace,sold,Catalina,445,2016,31.17,inboard,350,Inland Lakes,good,73500.82,70530.9,63,2026-10-20,[],
comp_5c2030c6ecac,marketplace,sold,Chaparral,23 SSi,2005,24.79,outboard,567,Pacific Coast,good,16365.24,14719.25,61,2025-08-21,[],
comp_185edce2d3ae,marketplace,sold,Lund,1875 Pro-V,1974,18.82,inboard,11151,Gulf Coast,very_good,4972.83,4849.53,83,2026-03-03,[],
comp_85841a83ec35,marketplace,sold,Bennington,22 SSB,2003,18.23,outboard,1785,Pacific Coast,good,5352.32,5030.82,26,2023-12-11,"[""radar""]",
comp_e87995589c57,brokerage,sold,SafeBoat,25 Defender,2001,38.78,outboard,9541,Inland Lakes,fair,49001.54,46339.5,65,2023-12-16,[],
comp_43695fdbcb41,marketplace,sold,Tracker,Grizzly 1860,1979,22.48,inboard,6812,Gulf Coast,very_good,6640.73,6264.71,92,2026-11-15,"[""generator"", ""trailer"", ""AIS""]",
comp_e72ca6d0ab91,marketplace,sold,Sea Ray,Sundancer 320,2011,33.2,sterndrive,1482,Atlantic Coast,good,86896.16,73410.89,26,2024-12-26,"[""trailer""]",
comp_62e616b2ea61,marketplace,sold,Sea Ray,SPX 190,2019,42.86,sterndrive,807,Great Lakes,fair,109733.41,93038.37,7,2026-06-07,"[""solar"", ""radar""]",
comp_5d3c5b5fdc74,brokerage,listing,Catalina,445,2013,45.39,inboard,704,Great Lakes,fair,95865.94,,43,2026-07-07,[],
comp_cc74dafb93cf,marketplace,sold,Grady-White,191 CE,2005,19.85,inboard,992,Gulf Coast,good,12687.74,10845.57,107,2025-02-27,"[""AIS""]",
comp_3b13a6403113,brokerage,sold,Bayliner,Element M17,1987,22.49,sterndrive,1663,Great Lakes,very_good,9839.43,8590.28,82,2025-12-02,[],
comp_7c7b7c672f78,marketplace,listing,Sun Tracker,Bass Buggy 18 DLX,1968,19.21,outboard,3317,Great Lakes,good,2592.71,,60,2024-01-25,"[""AIS"", ""generator""]",
comp_f7a070ad45e0,marketplace,sold,Harris,Cruiser 210,2026,20.23,outboard,0,Gulf Coast,excellent,48421.07,43422.99,47,2025-11-23,"[""autopilot"", ""AIS"", ""solar""]",
comp_facd08359575,marketplace,sold,Tracker,Pro Team 175,2005,25.57,outboard,4212,Gulf Coast,poor,8521.67,7225.53,46,2023-06-22,"[""AIS"", ""generator""]",
comp_1b5e24a5fbed,marketplace,sold,Sea Ray,SLX 260,2000,17.97,outboard,1740,Gulf Coast,good,10754.79,9820.33,63,2026-11-24,"[""generator"", ""autopilot"", ""AIS""]",
comp_5d540053fb10,brokerage,sold,Grady-White,257 Fisherman,1975,17.61,outboard,2968,Inland Lakes,good,4697.99,4100.46,46,2024-03-26,[],
comp_66a7d67f894d,brokerage,sold,Formula,350 CBR,2015,43.56,inboard,363,Inland Lakes,good,162074.33,146082.98,202,2025-12-23,"[""autopilot"", ""AIS"", ""solar""]",
comp_30325bfeebe4,marketplace,listing,Jeanneau,Leader 10.5,2019,33.93,sail_aux,352,Inland Lakes,poor,56779.76,,33,2026-02-18,"[""trailer"", ""generator"", ""radar""]",
comp_fed0538d576f,marketplace,sold,Regal,LS4,1989,23.97,sterndrive,3221,Maritimes,good,10725.69,9328.04,12,2025-09-05,"[""autopilot"", ""radar""]",
comp_3c3ff3b3ab62,brokerage,sold,Kawasaki Jet Ski,STX 160,2016,11.64,jet,69,Atlantic Coast,good,3705.69,3188.01,67,2025-09-27,"[""AIS""]",
comp_ead0232dbe00,brokerage,sold,Tracker,Grizzly 1860,1980,13.78,outboard,2664,Pacific Coast,fair,3111.44,2846.18,35,2025-06-22,"[""AIS"", ""radar"", ""autopilot""]",
comp_57ad63c08792,brokerage,sold,Lund,1875 Pro-V,2003,12.93,inboard,1235,Maritimes,good,6423.39,5814.99,202,2026-06-10,"[""autopilot""]",
comp_c771c3f0bbd3,marketplace,listing,Sea Ray,Sundancer 320,2005,32.53,inboard,1490,Maritimes,poor,40849.61,,16,2023-11-10,[],
comp_9cba01839f01,internal_sales,sold,Chaparral,280 OSX,1968,21.72,sterndrive,2763,Atlantic Coast,fair,3678.14,3407.74,10,2024-11-22,[],
comp_f9a52e216040,brokerage,listing,Grady-White,191 CE,2019,26.0,outboard,1209,Great Lakes,fair,27736.69,,50,2024-08-23,"[""trailer"", ""autopilot""]",
comp_d89d7aa86159,internal_sales,listing,Hunter,36,1997,26.08,sail_aux,1891,Inland Lakes,poor,21991.41,,91,2025-11-21,"[""joystick"", ""autopilot""]",
comp_b33cde4b75db,internal_sales,listing,Hunter,31,2009,24.67,inboard,218,Gulf Coast,very_good,51347.22,,34,2024-11-03,[],
comp_64906fce3954,marketplace,sold,Catalina,445,2014,17.69,sail_aux,0,Pacific Coast,poor,18664.39,18016.18,50,2026-06-09,[],
comp_731819ea900b,marketplace,listing,Regal,26 XO,2012,25.36,outboard,676,Inland Lakes,good,22321.45,,51,2023-05-12,[],
comp_fe8a10feb10d,brokerage,listing,Sea Ray,SLX 260,2016,36.71,sterndrive,1049,Gulf Coast,fair,72147.16,,183,2025-10-01,"[""radar"", ""AIS""]",
comp_8c8ba8ebf479,internal_sales,sold,Boston Whaler,170 Montauk,2010,23.16,outboard,2680,Atlantic Coast,very_good,25733.97,22236.9,56,2023-12-10,"[""solar"", ""AIS""]",
comp_69adb9662113,marketplace,sold,Formula,350 CBR,2000,28.55,sterndrive,460,Inland Lakes,excellent,73006.16,62992.89,38,2026-04-02,"[""generator"", ""AIS""]",
comp_fa01f16c510f,brokerage,sold,Tracker,Pro Team 175,2026,21.59,outboard,107,Maritimes,good,49330.77,43353.54,94,2026-09-15,"[""trailer"", ""generator"", ""radar""]",
comp_d55c16d279f6,brokerage,sold,Sun Tracker,Party Barge 22 DLX,2026,23.23,outboard,111,Maritimes,fair,33124.65,30192.9,56,2025-02-03,"[""trailer"", ""solar"", ""radar""]",
comp_a6152088a7a7,marketplace,sold,Harris,Solstice 230,2010,25.48,outboard,3049,Atlantic Coast,fair,10591.85,9110.38,39,2025-12-19,"[""autopilot"", ""joystick""]",
comp_b1a64125a9ca,internal_sales,sold,Beneteau,Oceanis 41.1,2018,34.68,inboard,494,Inland Lakes,good,116032.26,108257.29,34,2026-02-01,"[""solar"", ""generator""]",
comp_2276ead1a59d,brokerage,sold,Sea Ray,SPX 190,2006,19.34,outboard,256,Maritimes,good,11543.45,10104.0,40,2023-08-01,"[""generator"", ""solar""]",
comp_7ef2370fbcf6,marketplace,sold,Bayliner,Element M17,1999,13.93,outboard,1339,Maritimes,good,6624.0,5875.54,90,2023-05-12,"[""autopilot"", ""trailer""]",
comp_64b456a1d41f,marketplace,sold,HarborCat,26 WB,2003,26.58,jet,3013,Gulf Coast,poor,19073.34,16401.73,118,2026-12-08,"[""trailer"", ""radar""]",
comp_ca921a861d86,internal_sales,listing,Harris,Cruiser 210,2014,17.66,outboard,319,Maritimes,excellent,12265.75,,85,2024-05-14,"[""joystick"", ""generator""]",
comp_b7e5b84f6bfd,brokerage,listing,Alumacraft Pro,Trophy 195,2008,17.13,outboard,1153,Inland Lakes,very_good,26203.88,,60,2024-04-24,"[""radar""]",
comp_a6314752c1ea,internal_sales,sold,Tiara,38 LS,2011,48.49,sterndrive,2041,Maritimes,good,129948.41,110163.31,37,2023-09-27,[],
comp_65cd92e4f90c,marketplace,listing,Bayliner,DX2000,2021,24.64,outboard,986,Maritimes,fair,27060.44,,25,2023-01-28,"[""trailer"", ""radar"", ""generator""]",
comp_8d2b4594513c,marketplace,listing,Grady-White,336 Canyon,2026,24.67,inboard,116,Atlantic Coast,very_good,75270.88,,54,2026-01-12,"[""trailer""]",
comp_26fbb5faa846,internal_sales,sold,Sun Tracker,Party Barge 22 DLX,2014,19.76,outboard,455,Maritimes,very_good,12252.85,10936.81,20,2026-10-22,"[""solar"", ""joystick""]",
comp_ba660f87fa02,brokerage,listing,Sun Tracker,Party Barge 22 DLX,2002,25.69,outboard,238,Maritimes,good,9848.49,,80,2025-05-20,"[""generator"", ""joystick""]",
comp_d9f130b5cdaa,brokerage,sold,Chaparral,23 SSi,1972,26.0,outboard,414,Inland Lakes,fair,6174.76,5957.51,14,2024-07-22,"[""joystick"", ""trailer""]",
comp_9f247d432e37,brokerage,sold,Boston Whaler,280 Vantage,1973,26.0,outboard,6467,Atlantic Coast,excellent,10570.63,9670.63,37,2024-07-12,[],
comp_ca186c5b23bd,marketplace,listing,Bennington,22 SSB,1988,13.54,outboard,1306,Maritimes,very_good,3714.84,,86,2024-04-06,"[""generator""]",
comp_777836c6d141,brokerage,listing,Formula,350 CBR,2005,26.37,sterndrive,1677,Pacific Coast,excellent,71253.36,,54,2023-10-18,"[""joystick"", ""radar""]",
comp_449df48cce76,brokerage,sold,Sea Ray,SPX 190,1973,13.35,sterndrive,3435,Maritimes,poor,1497.1,1433.9,59,2024-02-10,"[""generator"", ""solar"", ""trailer""]",
comp_b19376f7e215,brokerage,sold,Beneteau,Oceanis 31,2009,34.44,sail_aux,109,Atlantic Coast,good,84579.62,81475.22,70,2026-01-22,"[""radar"", ""generator""]",
comp_6a96299a5aae,marketplace,sold,Tracker,Grizzly 1860,2013,20.43,outboard,1025,Pacific Coast,poor,9280.49,8116.94,94,2024-03-27,[],
comp_a68650cf698f,marketplace,sold,Sea Ray,SPX 190,2002,21.85,outboard,327,Pacific Coast,poor,7496.41,6365.66,59,2024-04-01,[],
comp_5fdd2c886555,brokerage,listing,Hunter,36,1984,27.88,inboard,1793,Maritimes,good,29326.24,,14,2024-10-28,[],
